7201,東証1部,日産自,日足,,,
日付,始値,高値,安値,終値,出来高,売買代金
2013/7/26,1095,1108,1080,1097,15924200,17405631000
2013/7/25,1119,1120,1104,1112,10115700,11256071400
2013/7/24,1113,1119,1105,1118,7963900,8844656500
2013/7/23,1114,1119,1110,1112,7859500,8755212000
2013/7/22,1122,1126,1107,1113,12122500,13527106400
2013/7/19,1123,1125,1100,1121,14874000,16581634400
2013/7/18,1119,1120,1105,1115,8347000,9293042100
2013/7/17,1103,1125,1102,1119,8970300,10010123900
2013/7/16,1106,1116,1105,1115,11319100,12583128300
2013/7/12,1088,1109,1085,1095,10469200,11476068400
2013/7/11,1075,1097,1074,1092,12436100,13529195500
2013/7/10,1086,1097,1076,1088,11854900,12909009900
2013/7/9,1070,1094,1065,1090,17630500,19077469900
2013/7/8,1076,1079,1048,1048,9511700,10097251700
2013/7/5,1050,1062,1040,1056,8165600,8600598900
2013/7/4,1039,1048,1028,1036,9304300,9635451300
2013/7/3,1058,1088,1045,1051,14597500,15497719400
2013/7/2,1037,1049,1026,1045,14629500,15223752700
2013/7/1,1030,1031,1005,1016,12012200,12207286200
2013/6/28,990,1024,987,1005,23177900,23347961000
2013/6/27,980,983,958,971,26788500,25874503200
2013/6/26,1000,1004,968,972,19264000,18886804900
2013/6/25,994,1001,968,984,19186800,18903358500
2013/6/24,1031,1034,992,995,14349200,14461828900
2013/6/21,970,1030,970,1030,21432100,21564750000
2013/6/20,1010,1019,998,1010,14856400,14990465300
2013/6/19,1018,1023,1001,1020,11342900,11533463800
2013/6/18,998,1006,989,1000,10904100,10878105800
2013/6/17,982,1000,967,998,15417800,15231850200
2013/6/14,991,1020,983,986,24964800,24843008100
2013/6/13,1010,1014,976,979,21532300,21375873700
2013/6/12,1037,1050,1017,1038,13399800,13833839400
2013/6/11,1069,1088,1057,1062,18286300,19607375000
2013/6/10,1030,1056,1025,1054,15365700,16047559500
2013/6/7,1011,1025,971,993,27920400,27843615500
2013/6/6,1040,1069,1027,1030,20387500,21258915300
2013/6/5,1099,1103,1050,1057,16808200,18024383300
2013/6/4,1075,1107,1050,1099,20766600,22432972900
2013/6/3,1089,1090,1055,1070,18229400,19607763400
2013/5/31,1145,1146,1114,1115,17830500,20050024500
2013/5/30,1100,1142,1093,1120,23558200,26339852100
2013/5/29,1165,1170,1114,1134,17910300,20479660000
2013/5/28,1080,1128,1074,1121,28280900,31307812900
2013/5/27,1128,1129,1075,1076,27775600,30365150700
2013/5/24,1198,1202,1085,1155,26179600,30454223800
2013/5/23,1225,1249,1151,1168,33497000,40299394100
2013/5/22,1240,1250,1208,1215,16846100,20643520000
2013/5/21,1225,1247,1216,1232,18856900,23240281600
2013/5/20,1189,1245,1186,1225,26119700,31671027200
2013/5/17,1150,1161,1142,1160,13047000,15039690300
2013/5/16,1153,1164,1136,1160,19436500,22398578900
2013/5/15,1130,1155,1129,1147,24192800,27655568400
2013/5/14,1130,1132,1098,1098,18994900,21058444600
2013/5/13,1100,1139,1098,1111,29157700,32568297900
2013/5/10,1069,1079,1063,1063,27931800,29941407700
2013/5/9,1035,1047,1032,1032,14873900,15446810100
2013/5/8,1030,1036,1018,1019,17695000,18186115500
2013/5/7,1027,1030,1015,1017,17494900,17879311100
2013/5/2,985,990,972,979,20464900,20003959000
2013/5/1,1018,1019,997,999,12342900,12368144300
2013/4/30,1039,1040,1012,1016,16933500,17294683300
