,WTI原油価格
2008年1月,92.98
2008年2月,95.38
2008年3月,105.47
2008年4月,112.62
2008年5月,125.37
2008年6月,133.93
2008年7月,133.38
2008年8月,116.64
2008年9月,103.94
2008年10月,76.61
2008年11月,57.29
2008年12月,41.44
2009年1月,41.74
2009年2月,39.15
2009年3月,47.98
2009年4月,49.81
2009年5月,59.12
2009年6月,69.58
2009年7月,64.14
2009年8月,71.06
2009年9月,69.44
2009年10月,75.77
2009年11月,78
2009年12月,74.49
2010年1月,78.34
2010年2月,76.3
2010年3月,81.25
2010年4月,84.5
2010年5月,73.74
2010年6月,75.35
2010年7月,76.16
2010年8月,76.6
2010年9月,75.26
2010年10月,81.9
2010年11月,84.19
2010年12月,89.22
2011年1月,89.51
2011年2月,89.37
2011年3月,102.92
2011年4月,110.04
2011年5月,101.25
2011年6月,96.25
2011年7月,97.19
2011年8月,86.32
2011年9月,85.62
2011年10月,86.41
2011年11月,97.07
2011年12月,98.61
2012年1月,100.15
2012年2月,102.26
2012年3月,106.15
2012年4月,103.28
2012年5月,94.51
2012年6月,82.36
2012年7月,87.89
2012年8月,94.11
2012年9月,94.61
2012年10月,89.52
2012年11月,86.69
2012年12月,88.19
2013年1月,94.65
2013年2月,95.3
2013年3月,93.12
2013年4月,92.02
2013年5月,94.72
2013年6月,95.79
