id,campaign_result,age,occupation,marriage,academic_background,debt_default,credit,house_loan,personal_loan,duration_time,contact_count,previous_campaign
1,0,42,2,1,2,0,-102360,1,0,189,0,9
2,1,36,1,3,3,0,564960,0,0,284,1,2
3,0,25,2,1,2,0,124320,1,0,337,0,9
4,1,33,7,2,2,0,13680,0,1,676,0,9
5,0,32,1,1,2,0,600,1,0,593,0,9
6,0,40,2,2,3,0,72240,1,0,145,7,2
7,0,60,3,2,3,0,31320,1,1,128,1,2
8,0,32,4,1,2,0,136680,1,0,57,1,2
9,0,45,4,2,2,0,16920,1,1,21,0,9
10,0,44,4,2,2,0,100440,1,0,218,0,9
11,0,53,3,2,2,0,7920,0,1,141,0,9
12,1,57,3,2,3,0,30720,0,0,304,1,1
13,1,37,3,2,2,0,653640,1,1,1789,0,9
14,0,55,7,2,2,0,74040,1,0,529,0,9
15,0,26,3,1,3,0,25440,0,0,62,0,9
16,0,38,2,1,2,0,106080,1,1,295,2,2
17,0,32,2,1,2,0,624600,0,0,352,0,9
18,0,50,4,2,2,0,478560,0,0,165,0,9
19,0,44,5,2,2,0,345360,1,0,125,0,9
20,0,35,1,2,2,0,347640,0,0,243,0,9
21,0,36,3,2,3,0,32280,1,0,155,0,9
22,0,53,3,2,1,0,-50520,1,0,543,0,9
23,0,32,1,2,3,0,6840,0,0,530,0,9
24,0,38,2,1,3,0,519000,1,0,87,0,9
25,0,27,2,1,3,0,60120,0,1,370,0,9
26,0,23,6,1,3,0,60960,0,0,544,0,9
27,1,43,4,1,2,0,38160,1,0,736,0,9
28,0,38,7,2,1,0,-11160,1,0,263,0,9
29,0,46,7,3,1,0,10920,1,0,215,0,9
30,0,35,3,2,3,0,27840,1,1,249,0,9
31,0,34,7,1,2,0,30960,1,0,131,0,9
32,0,27,3,1,3,0,75000,0,0,554,0,9
33,0,30,1,1,2,0,8640,0,0,86,0,9
34,0,39,10,2,3,0,28800,1,0,17,0,9
35,0,43,1,3,2,0,29040,1,0,174,0,9
36,0,66,12,2,1,0,46560,0,0,152,0,9
37,0,59,2,2,3,0,105960,0,0,1551,3,2
38,1,36,3,3,3,0,9720,0,1,560,0,9
39,0,33,4,1,2,0,-44040,1,1,225,0,9
40,1,48,1,1,2,0,185280,1,0,263,2,2
41,0,44,3,2,3,0,90720,1,0,65,2,2
42,0,33,1,1,2,0,107280,0,0,509,0,9
43,0,36,3,2,3,0,0,1,1,599,0,9
44,0,34,3,2,3,0,50040,1,0,138,0,9
45,0,36,2,1,2,1,0,0,1,109,0,9
46,0,52,3,3,3,1,0,0,0,335,0,9
47,0,38,4,2,1,0,37800,1,0,173,0,9
48,0,46,11,2,1,0,378600,1,0,271,0,9
49,0,26,4,1,1,0,-35400,1,0,138,0,9
50,0,51,3,3,3,0,14280,0,0,112,0,9
51,0,37,3,1,3,0,54840,1,0,510,0,9
52,0,34,3,1,3,0,22080,0,0,203,0,9
53,0,46,2,3,2,0,15480,0,0,75,0,9
54,0,41,4,2,2,0,167280,1,0,519,0,9
55,1,29,1,2,2,0,924840,1,0,961,2,2
56,0,47,2,2,3,0,65400,1,0,588,0,9
57,0,36,8,2,1,0,0,0,0,409,0,9
58,0,40,12,2,1,0,0,1,1,181,0,9
59,0,45,7,3,1,0,462480,1,0,10,0,9
60,0,42,4,1,3,0,208320,0,0,179,0,9
61,1,44,5,2,3,0,14520,0,0,248,1,1
62,1,28,7,1,2,0,20160,0,0,387,1,3
63,0,37,3,2,3,0,108000,1,0,155,2,2
64,0,37,5,2,3,0,154080,1,0,246,0,9
65,0,36,3,2,3,0,73440,0,0,153,0,9
66,0,40,4,1,9,0,128880,1,0,504,0,9
67,0,41,1,1,2,0,0,0,0,286,0,9
68,1,32,2,1,2,0,4800,0,0,419,0,9
69,0,36,3,3,3,0,168720,1,0,266,0,9
70,0,70,12,2,9,0,77640,0,0,152,1,2
71,1,33,2,2,3,0,203880,0,0,178,1,1
72,0,38,8,1,2,0,345120,0,0,245,0,9
73,0,28,8,1,2,0,64560,0,0,114,0,9
74,0,31,1,1,2,0,51600,1,0,103,0,9
75,0,30,1,2,2,0,-5280,1,0,97,0,9
76,0,32,1,2,2,0,40440,0,0,51,1,2
77,0,54,2,2,2,0,174600,1,0,90,0,9
78,0,31,7,1,9,0,737400,1,0,70,0,9
79,0,34,2,2,2,0,-3000,0,0,207,0,9
80,0,31,3,1,2,0,0,0,0,87,0,9
81,1,33,3,2,3,0,0,1,0,378,0,9
82,0,55,3,1,3,0,102480,1,1,98,0,9
83,0,39,4,2,1,0,120600,0,0,158,0,9
84,0,31,4,1,3,0,7200,1,1,389,0,9
85,1,59,11,2,3,0,241560,0,0,222,2,1
86,0,42,3,2,3,0,202320,1,1,522,0,9
87,0,31,3,2,3,0,93240,1,0,245,0,9
88,0,40,3,2,2,0,189120,1,1,253,0,9
89,0,35,1,1,2,0,15360,0,0,46,0,9
90,0,42,3,3,3,0,31920,0,1,228,0,9
91,0,40,4,2,2,0,37920,1,0,266,0,9
92,0,52,4,2,1,0,0,1,0,17,0,9
93,0,23,4,1,2,0,-11400,1,0,167,0,9
94,0,35,11,2,2,0,0,1,0,633,0,9
95,0,38,2,2,2,0,0,1,0,111,0,9
96,0,37,3,2,3,0,624600,1,0,493,0,9
97,0,36,7,2,2,0,45600,1,0,26,0,9
98,0,46,7,2,2,0,-14280,1,0,138,3,2
99,0,33,7,2,2,0,84360,0,0,160,0,9
100,0,43,4,2,2,0,56400,1,1,185,0,9
101,0,39,4,2,2,0,387720,1,1,164,0,9
102,0,44,1,2,2,0,720,0,1,114,0,9
103,0,42,1,1,2,0,82080,0,0,163,1,1
104,0,32,2,3,3,0,9000,0,0,104,9,2
105,0,36,4,2,1,0,102720,1,0,39,0,9
106,0,42,4,2,1,0,95040,1,1,611,12,3
107,0,42,2,1,2,0,68160,1,0,311,2,2
108,0,41,4,2,2,0,93600,1,0,432,0,9
109,0,26,11,2,2,0,59040,1,1,439,0,9
110,0,30,3,2,3,0,0,1,0,127,0,9
111,0,36,1,2,2,0,-35280,1,0,148,0,9
112,0,53,2,2,2,0,800520,1,1,72,0,9
113,0,55,10,1,1,0,0,0,0,247,0,9
114,0,41,7,2,2,0,24600,1,0,91,0,9
115,0,41,4,2,1,0,-6240,1,0,120,0,9
116,1,48,3,2,3,0,137640,0,0,155,3,1
117,1,40,8,1,3,0,956160,0,0,596,0,9
118,0,33,2,2,2,0,-124800,1,1,130,0,9
119,0,36,7,2,2,0,21960,1,0,103,0,9
120,0,44,3,2,2,0,-79800,0,0,342,0,9
121,0,31,4,2,2,0,0,0,1,275,0,9
122,0,44,2,2,2,0,42960,0,0,179,0,9
123,0,44,4,2,1,0,9000,0,0,107,0,9
124,0,40,7,2,2,0,-13920,1,0,176,0,9
125,0,42,4,1,2,0,153480,1,0,347,0,9
126,0,59,12,2,2,0,1320,0,0,318,0,9
127,0,32,3,3,3,0,178320,1,0,151,0,9
128,0,59,2,2,2,0,57360,0,0,108,0,9
129,0,56,7,2,2,0,566280,1,1,82,0,9
130,1,33,3,3,3,0,268800,0,0,198,0,9
131,0,27,8,1,1,0,175080,1,0,153,0,9
132,0,35,7,1,2,0,147240,1,1,283,0,9
133,1,39,7,2,2,0,3000,1,1,658,3,2
134,0,46,2,1,3,0,336000,0,0,47,0,9
135,0,25,1,1,2,0,51000,0,0,100,0,9
136,0,24,6,1,2,0,44640,1,0,143,0,9
137,1,41,2,2,3,0,182040,0,0,193,0,9
138,0,30,2,1,2,0,111000,0,0,240,0,9
139,0,56,3,1,9,0,13320,0,0,79,1,2
140,0,37,2,2,3,0,108600,1,0,111,0,9
141,0,55,3,3,3,0,33240,0,0,101,0,9
142,0,70,12,2,9,0,148320,0,0,58,0,9
143,0,25,4,1,9,0,44760,1,0,634,0,9
144,0,36,8,2,1,0,77520,0,0,148,0,9
145,0,57,4,2,1,0,11160,1,0,137,0,9
146,0,37,1,3,2,0,60720,1,0,446,1,2
147,0,35,2,2,3,0,183120,1,0,138,0,9
148,0,46,4,2,1,0,6840,1,0,797,0,9
149,0,30,7,1,3,0,96360,0,0,243,0,9
150,0,35,3,2,3,0,124920,0,0,586,3,3
151,0,48,12,1,1,0,14280,0,1,177,0,9
152,0,40,1,2,2,0,600,0,0,174,0,9
153,0,37,3,3,2,0,154440,1,0,432,0,9
